IMO,Navio,Operação,Comp(m),DWT,Carga,Qtd.Carga,Calado(m),Agência,Ultima Atualizacao
9520857,FLAGSHIP VIOLET,IMPORTAÇÃO,228,74.999,DIESEL,32.600,13.35,LACHMANN,10/07/23
9808340,CIELO DI IYO,IMPORTAÇÃO,183,37.204,MOP,35.680,10.4,LACHMANN,13/07/23
9603805,STAR LUSTER,IMPORTAÇÃO,204,50.740,MES9,5.400,12.6,ROCHAMAR,13/07/23
9732424,AMIS JUSTICE,IMPORTAÇÃO,200,63.531,MAP,40.000,9.8,ROCHAMAR,13/07/23
9599004,SEAMEC GALLANT,IMPORTAÇÃO,180,32.289,MAP,6.862,10.22,ORION RODOS,13/07/23
9719331,KIBO,IMPORTAÇÃO,182,38.896,FERTILIZANTES,14.251,6.5,LBH BRASIL,13/07/23
9596820,OSCAR NIEMEYER,IMPORTAÇÃO,118,5.000,GLP,3.500,7,LACHMANN,13/07/23
9697832,FEDERAL BERING,IMPORTAÇÃO,200,34.564,MOP,20.842,8.3,ORION RODOS,13/07/23
9468815,BOLERO,IMPORTAÇÃO,189,50.094,OLEO.COMBUSTÍVEL,4.000,9,LACHMANN,13/07/23
9356402,UNISPIRIT,IMPORTAÇÃO,132,9.775,TRILHOS,4.306,7,HARMS E CIA,13/07/23
9774472,KANG MAY,EXPORTAÇÃO,228,85.001,SOJA,65.000,7.54,FERTIMPORT,13/07/23
9514377,NORDIC STAVANGER,EXPORTAÇÃO,190,56.172,SOJA,47.000,7,ALPHAMAR,13/07/23
9589255,BUILDER,EXPORTAÇÃO,229,81.541,SOJA,693,7.47,ALPHAMAR,13/07/23
9802308,GOODWYN ISLAND,EXPORTAÇÃO,200,63.963,SOJA,66.000,6.9,CARGONAVE,13/07/23
9591997,PHOENIX OCEAN,EXPORTAÇÃO,225,76.067,SOJA,65.898,7,LBH BRASIL,13/07/23
9933248,AQUAPRIMA,EXPORTAÇÃO,229,82,MILHO,71.400,7.9,CARGONAVE,13/07/23
9697868,SAKIZAYA DIAMOND,EXPORTAÇÃO,229,81.938,SOJA,70.500,7.13,LBH BRASIL,13/07/23
