Berço,IMO,Navio,Operação,Bordo,Comp(m),DWT,Carga,Qtd.Carga,Calado(m),Agência,Ultima Atualização
B104,9489912,ROMULO ALMEIDA,IMPORTAÇÃO,BOMBORDO,183,48.300,QUEROSENES,11.150,9.8,LACHMANN,04/08/23
B105,9757785,NAVIOS ALEGRIA,EXPORTAÇÃO,BORESTE,229,84.852,MILHO,73.500,7.9,CARGONAVE,04/08/23
B106,9426312,SKS DELTA,IMPORTAÇÃO,BORESTE,250,119.456,DIESEL S 10,121.200,13.7,LACHMANN,04/08/23
B108,9411305,TORM CORRIDO,IMPORTAÇÃO,BORESTE,183,46.156,GASOLINE A,13.404,9.5,ZYON SHIPPING,04/08/23
B099,9863833,FALCON TRADER,IMPORTAÇÃO,BORESTE,200,63.675,CLINQUER,49.570,11.5,LBH BRASIL,07/08/23
B100,9959761,DELIGHT DIVA,EXPORTAÇÃO,BORESTE,229,82.216,MILHO,70.000,7,ALPHAMAR,07/08/23
B103,9947249,JEN LR,EXPORTAÇÃO,BORESTE,229,82.411,SOJA,71.420,6.96,CARGONAVE,07/08/23
B104,9836452,CLYDE,IMPORTAÇÃO,BOMBORDO,183,49.999,OLEO.COMBUSTÍVEL,6.000,10.95,LACHMANN,08/08/23
B104,9657806,PS HAMBURG,IMPORTAÇÃO,BORESTE,183,49.999,GASOLINA A,32.700,10.1,LACHMANN,08/08/23
B105,9452593,GIEWONT,EXPORTAÇÃO,BORESTE,229,79.586,SOJA,65.000,6,FERTIMPORT,07/08/23
B108,9403334,AVANTI,IMPORTAÇÃO,BOMBORDO,180,45.965,OUTRAS,21.993,9.3,NORTH STAR,07/08/23
B099,9460289,NORAH,IMPORTAÇÃO,BORESTE,180,35.957,MES9,7.000,8.8,ROCHAMAR,09/08/23
B100,9267211,FORTUNE SUN,EXPORTAÇÃO,BORESTE,225,74.193,SOJA,66.000,7,LBH BRASIL,09/08/23
B101,9313022,STAR OMICRON,IMPORTAÇÃO,BORESTE,190,53.489,FERTILIZANTES,42.628,11.06,LBH BRASIL,09/08/23
B102,9596832,DARCY RIBEIRO,IMPORTAÇÃO,BORESTE,117,5.583,GLP,3.500,6.2,LACHMANN,09/08/23
B102,9213935,INDUSTRIAL CHALLENGER,IMPORTAÇÃO,BORESTE,120,8.057,CARGA GERAL,157,7.1,ORION RODOS,09/08/23
B103,9947249,JEN LR,EXPORTAÇÃO,BORESTE,229,82.411,SOJA,71.420,6.96,CARGONAVE,09/08/23
B105,9452593,GIEWONT,EXPORTAÇÃO,BORESTE,229,79.586,SOJA,65.000,6,FERTIMPORT,09/08/23
B106,9657806,PS HAMBURG,IMPORTAÇÃO,BORESTE,183,49.999,GASOLINA A,32.700,10.1,LACHMANN,09/08/23
B108,9669902,BOW TRIUMPH,IMPORTAÇÃO,BOMBORDO,183,49.622,HIDRÓXIDO,6.300,11.18,LBH BRASIL,09/08/23
B099,9548835,STAR DALMATIA,EXPORTAÇÃO,BOMBORDO,200,51.593,CELULOSE,32.100,6,WILSON SONS SHIPPING SERVICES LTDA,13/08/23
B100,9313058,IOLCOS UNITY,EXPORTAÇÃO,BORESTE,225,74.476,SOJA,64.000,7,LBH BRASIL,11/08/23
B101,9313022,STAR OMICRON,IMPORTAÇÃO,BORESTE,190,53.489,FERTILIZANTES,42.628,11.06,LBH BRASIL,11/08/23
B102,9263069,MORNINGSTAR,IMPORTAÇÃO,BORESTE,190,46.859,MES9,23.403,9.62,ROCHAMAR,11/08/23
B103,9527441,CHRYSANTHI S,EXPORTAÇÃO,BORESTE,229,80.268,MILHO,66.450,7,LBH BRASIL,13/08/23
B104,9953444,ANIKITOS,IMPORTAÇÃO,BOMBORDO,183,50.113,DIESEL,29.572,12.5,NORTH STAR,13/08/23
B105,9452610,ORNAK,EXPORTAÇÃO,BORESTE,229,79.677,GRAOS,65.000,6.8,FERTIMPORT,13/08/23
B106,9465966,TORM ALICE,IMPORTAÇÃO,BORESTE,183,49.999,GASOLINAS,51.600,11.1,LACHMANN,11/08/23
B108,9353113,HANA,IMPORTAÇÃO,BORESTE,184,37.321,DIESEL,40.000,10.6,WILSON SONS SHIPPING SERVICES LTDA,13/08/23
B099,9254642,STAR JUVENTAS,EXPORTAÇÃO,BORESTE,198,44.837,CELULOSE,43.000,7,WILSON SONS SHIPPING SERVICES LTDA,19/08/23
B100,9583756,GEORGIA T,EXPORTAÇÃO,BORESTE,229,80.415,SOJA,63.000,7,L.M.A. SHIPPING & CONSULTING,19/08/23
B101,9684225,STAR MISTRAL,IMPORTAÇÃO,BORESTE,199,63.306,MOP,19.547,7.29,ORION RODOS,19/08/23
B102,9594456,SEAHORSE,IMPORTAÇÃO,BOMBORDO,177,32.962,ARROZ,12.382,9.2,HARMS E CIA,19/08/23
B103,9414149,ULTRA TIGER,EXPORTAÇÃO,BOMBORDO,229,83.611,SOJA,66.000,7,ALPHAMAR,20/08/23
B104,9845166,FPMC 34,IMPORTAÇÃO,BOMBORDO,183,49.781,GASOLINA,24.850,11.6,WORLD SHIPPING SLZ AGENCIAMENTOS MARITIMOS LTDA,19/08/23
B105,9584499,WOOLLOOMOOLOO,EXPORTAÇÃO,BORESTE,224,76.064,GRAOS,720,7.79,FERTIMPORT,19/08/23
B108,9700342,SEAWAYS LOOKOUT,IMPORTAÇÃO,BORESTE,183,50.136,OUTRAS,32.822,10,WILSON SONS SHIPPING SERVICES LTDA,19/08/23
B099,9566605,PUFFIN ARROW,EXPORTAÇÃO,BORESTE,200,62.967,CELULOSE,59.000,7,WILSON SONS SHIPPING SERVICES LTDA,25/08/23
B100,9578294,BADGER ISLAND,EXPORTAÇÃO,BOMBORDO,190,58.086,SOJA,50.000,6,LBH BRASIL,25/08/23
B101,9942093,PORT KYOTO,IMPORTAÇÃO,BORESTE,199,63.590,MOP,17.198,7.54,ORION RODOS,25/08/23
B102,9595723,GOLDEN KEEN,EXPORTAÇÃO,BORESTE,229,81.586,GRAOS,63.530,8,WILSON SONS SHIPPING SERVICES LTDA,25/08/23
